Frame,Time (Seconds),Rotation X,Rotation Y,Rotation Z,Rotation W,Position X,Position Y,Position Z,Error Per Marker
218,2.18,0.650962,0.16713,-0.615253,-0.412044,0.911357,1.719404,-0.376025,0.024462
219,2.19,0.708379,0.278477,-0.575441,-0.299196,0.921809,1.711872,-0.378495,0.032037
220,2.2,0.650044,0.165858,-0.616029,-0.412846,0.911407,1.719479,-0.375984,0.024501
221,2.21,0.708442,0.278812,-0.575423,-0.298768,0.921922,1.711846,-0.378493,0.032068
222,2.22,0.650723,0.167114,-0.615869,-0.411508,0.911525,1.719376,-0.376008,0.024451
223,2.23,0.709063,0.280528,-0.574857,-0.296772,0.922041,1.711735,-0.378538,0.031997
224,2.24,0.651817,0.168899,-0.615295,-0.409902,0.911678,1.719272,-0.376032,0.024527
225,2.25,0.709853,0.281993,-0.573852,-0.295437,0.922181,1.711626,-0.378553,0.032057
226,2.26,0.652891,0.170277,-0.614679,-0.408545,0.911799,1.719141,-0.376046,0.024426
227,2.27,0.710483,0.283155,-0.57321,-0.294054,0.922294,1.71152,-0.378583,0.032066
228,2.28,0.653496,0.171447,-0.614472,-0.407398,0.911884,1.719113,-0.37609,0.024454
229,2.29,0.710841,0.284217,-0.572824,-0.292913,0.922346,1.711487,-0.378632,0.032012
230,2.3,0.653977,0.172373,-0.614133,-0.406747,0.911915,1.719051,-0.376132,0.024466
231,2.31,0.71111,0.284906,-0.572518,-0.292189,0.922395,1.711445,-0.378662,0.032021
232,2.32,0.654249,0.172935,-0.613942,-0.406359,0.911956,1.719031,-0.376153,0.024537
233,2.33,0.711309,0.285239,-0.572149,-0.292101,0.922415,1.711405,-0.378665,0.032041
234,2.34,0.65451,0.173299,-0.61369,-0.406163,0.911976,1.719022,-0.376158,0.024539
235,2.35,0.711332,0.285466,-0.572037,-0.292045,0.922446,1.711403,-0.378665,0.032035
236,2.36,0.654508,0.173357,-0.613843,-0.40591,0.912,1.719015,-0.376157,0.024432
237,2.37,0.711432,0.285561,-0.572025,-0.291731,0.922453,1.711405,-0.37867,0.032037
238,2.38,0.736001,0.351403,-0.53699,-0.215548,0.929122,1.706533,-0.380234,0.032067
239,2.39,0.691003,0.233212,-0.582017,-0.359699,0.912552,1.715553,-0.378589,0.02324
240,2.4,0.727539,0.319011,-0.54798,-0.261985,0.922653,1.709308,-0.380162,0.032044
241,2.41,0.742963,0.369193,-0.521799,-0.198566,0.929126,1.705353,-0.381173,0.031995
242,2.42,0.697437,0.244219,-0.575111,-0.350978,0.912466,1.714902,-0.379118,0.023278
243,2.43,0.729791,0.323569,-0.544103,-0.258187,0.922511,1.709023,-0.38042,0.032052
244,2.44,0.669083,0.195871,-0.601586,-0.389944,0.911833,1.717732,-0.377148,0.024468
245,2.45,0.716584,0.29527,-0.564469,-0.284072,0.92218,1.710839,-0.37917,0.032051
246,2.46,0.65686,0.176575,-0.611355,-0.404475,0.911684,1.718829,-0.376368,0.024461
247,2.47,0.711204,0.284501,-0.571943,-0.293478,0.922132,1.711463,-0.378688,0.032045
248,2.48,0.652683,0.170203,-0.614706,-0.408867,0.911704,1.719234,-0.37608,0.024515
